name,article,actualname,plural,itemid,objectclass,primarytype,slot,implemented,immobile,walkable,pickupable,levelrequired,vocrequired,imbueslots,upgradeclass,attrib,armor,weight,stackable,marketable,droppedby,value,npcvalue,npcprice,buyfrom,sellto,notes,history,defense,holdsliquid,usable,status,sounds,flavortext,duration,attack,npcvaluerook,npcpricerook,hands,weapontype,enchantable,secondarytype,volume,consumable,regenseconds,defensemod,hangable,range,atk_mod,hit_mod,blockspath,writable,writechars,fansite,words,lightradius,lightcolor,mlrequired,storevalue,damagetype,imbuements,tertiarytype,rewritable,pricecurrency,wrappable,manaleech_ch,manaleech_am,crithit_ch,critextra_dmg,hpleech_ch,hpleech_am,resist,ice_attack,augments,death_attack,fire_attack,earth_attack,manacost,damagerange,energy_attack,elementalbond,charges,destructible,location,mantra,notes2,enchanted,rotatable
Copper Key,a,copper key,copper keys,2970,Tools and other Equipment,Keys,-,3.1,no,yes,yes,-,-,-,-,-,-,1.00,-,-,-,?,0,0,-,-,"For a list of copper keys, see [[Keys by Type/Copper Key]].<br>Looks the same as [[Omrabas' Copper Key]].",-,-,-,yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Copper Shield,a,copper shield,?,3430,Body Equipment,Shields,Shield Hand,5.1,no,yes,yes,-,-,-,-,-,-,63.00,no,yes,Dwarf | Loricate Orger | Orc Warrior | Orger | Rottie the Rotworm,?,50,0,-,"Azil, Baltim, Brengus, Cedrik, Coltrayne: 50, Cornelia, Dixi: 50, Esrik, Flint, H.L.: 10, Hardek, Kroox, Lee'Delle: 50, Memech, Morpel, Raffael: 50, Robert, Rock In A Hard Place, Sam, Shanar, Turvy, Ulrik, Willard, Yanni","Obtainable from the [[Dragon Corpse Quest]] in [[Rookgaard]]. The best obtainable [[Shields|shield]] in [[Rookgaard]]. Due to a bug in [[Dawnport]], the [[Steel Shield]] now exists in Rookgaard.",-,19,-,-,-,-,-,-,-,50,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Corncob,a,corncob,?,3597,"Plants, Animal Products, Food and Drink",Food,-,5.1,no,yes,yes,-,-,-,-,-,-,3.50,yes,yes,Barbaria | Barbarian Brutetamer | Carniphila | Grove Guardian | Orc Shaman | Scar Tribe Shaman,1-3,0,3,"Brasith, Donald McRonald, Livielle, Serafin",-,Just good to eat.\n<br />\n\nCan be found at a [[daily spawn]] in [[Greenshore]]. 2 of them are needed in the [[Hot Cuisine Quest]].,-,-,-,yes,-,{{Sound List|Crunch.}},-,-,-,-,-,-,-,-,-,-,yes,108,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Crate,a,crate,?,2471,Household Items,Containers,-,3.0,no,yes,yes,-,-,-,-,-,-,80.00,-,-,-,0,0,10,"Borkas, Dorbin, Eddy, Edvard, Feizuhl, Gamon, Hofech, Iwar, Janz, Nicholas, Nydala, Peggy, Ukea, Vera, Yoem",-,"Looks the same as a [[Crate (Usable)]], an [[Old Crate]], a [[Crate (Wine)]], a [[Crate (Swapped)]], a [[Crate (Jimmy)]], a [[Crate Full of Coral]], a [[Machine Crate]] and a [[Weapons Crate]]. \n5 can be found at daily spawns in building north of [[Billy]] in premium side of [[Rookgaard]], [http://tibia.wikia.com/wiki/Mapper?coords{{=}}125.51,125.199,7 here].",-,-,-,yes,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,-,-,-,-,-
Crocodile Boots,-,crocodile boots,?,3556,Body Equipment,Boots,Feet,7.5,no,yes,yes,-,-,1,2,-,1,9.00,no,yes,Crocodile | Killer Caiman | The Snapper,"1,000",1000,0,-,"Brengus, Rashid","'''Crocodile Boots''' are identical to [[Leather Boots]] in both armor rating and weight, but have been traded at seemingly ridiculous prices due to their rarity and the fact that free accounts are unable to loot them for themselves. Their graphic is a recolored version of the old sprite of Leather Boots.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Crossbow,a,crossbow,?,3349,Weapons,Distance Weapons,Both Hands,3.0,no,yes,yes,0,-,3,1,-,-,40.00,no,yes,Cublarc the Plunderer | Dragon | Dwarf Soldier | Elder Forest Fury | Elder Wyrm | Forest Fury | Grand Mother Foulscale | Guard Captain Quaid | Minotaur Archer | Minotaur Poacher | Naga Archer | Orc Marauder | Vicious Squire | Wyrm,160 - 500,160,500,"Asnarus, Brengus, Cedrik, Coltrayne, Dario, Edoch, Eliyas, Galuna, Gnomerrow, Irea, Maun, Mugruu, Perac, Perod, Pompan, Robert, Rock In A Hard Place, Silas, Taegen, Talphion, Uzgod, Vincent, Willard, Xed","Asnarus: 120, Brengus: 120, Cedrik: 120, Dario: 120, Edoch: 120, Eliyas:120, H.L.: 20, Maun: 120, Mugruu: 120, Perod: 120, Pompan: 120, Robert: 120, Rock In A Hard Place: 120, Silas: 120, Taegen: 120, Timur, Vincent: 120, Willard: 120","Has a range of 5 square tiles around the user and is one of the primary [[weapon]]s for [[Paladin]]s along with the [[Bow]], and is used to fire a variety of [[Ammunition#Ammunition for Crossbows|ammunition]].",-,-,-,-,-,{{Sound List|}},-,-,-,-,-,Two,Distance,-,Crossbows,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Crowbar,a,crowbar,?,3304,Tools and other Equipment,Tools,Weapon Hand,5.1,no,yes,yes,0,-,-,1,-,-,21.00,no,yes,Behemoth | Destroyer | Faceless Bane | Girtablilu Warrior | Loricate Orger | Orger | Pirat Cutthroat | Stonecracker,50 - 260,50,260,"Ahmet, Baltim, Bashira, Beatrice, Bertha, Bezil, Brengus, Cedrik, Esrik, Flint, Gamel, Gladys, Gorn, Gree Dee, Habdel, Halif, Hardek, Lubo, Maro, Maun, Memech, Morpel, Nelliem, Nezil, Perod, Pompan, Red Lilly, Robert, Rock In A Hard Place, Romella, Rowenna, Sam, Sarina, Shanar, Shiantis, Tefrit, Timur, Turvy, Ulrik, Uzgod, Willard, Zora","Ahmet, Baltim, Bashira, Beatrice, Bertha, Bezil, Brengus, Cedrik, Esrik, Flint, Gamel, Gladys, Gorn, Gree Dee, H.L.: 1, Habdel, Halif, Hardek, Lubo, Maro, Maun, Memech, Morpel, Nezil, Perod, Pompan, Red Lilly, Robert, Rock In A Hard Place, Romella, Rowenna, Sam, Sarina, Shanar, Shiantis, Tefrit, Timur, Turvy, Ulrik, Uzgod, Willard, Zora","Crowbars can be used to fix or destroy certain objects. Also it is the lowest attack [[Club Weapons|club]] and is good for [[Training]].\nNeeded in one of [[The Postman Missions]], in the [[The Ape City Quest]], and for the [[In Service of Yalahar Quest]]. Unlocks a door in the [[Desert Dungeon]]. \n\nYou can use the [[Whacking Driller of Fate]] as a substitution for this tool.",-,6,-,yes,-,-,It may come in handy sometime.,-,5,-,-,One,Club,no,Club Weapons,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Crown,a,crown,crowns,3011,Body Equipment,Helmets,Head,5.0,no,yes,yes,-,-,-,-,-,0,19.00,no,yes,-,Negotiable,0,0,-,-,"A very rare item. There is only one documented crown obtained in Tibia, in [[Lutabra]]. \n\nIt first appeared when [[Knightmare]] (after broadcasting the giveaway) threw this item and a [[Crystal Wand]] as special rewards into the [[Thais]] temple in Antica in 2000. It was owned by a famous rare collector, [[Lightbringer]], and later sold to an unknown player. It can be seen in the treasure rooms in [[Kazordoon]], [[Maze of Lost Souls]], [[Hellgate]], [[Omruc]]'s pharaoh room in [[Ankrahmun]], in a tomb in the [[Isle of the Kings]], in the room just south of [[Bunny Bonecrusher]], [[Pits of Inferno]] reward room, and inside [[Treasure Rooms#Morguthis Treasure Room|Morguthis' Treasure Room]].\n\n<gallery mode=""nolines"">\nFile:Crownhihi.png\nFile:Crown_blessed_shield_dragon_scale_legs_magera.png\n| 1 = ‎Crown along with [[Blessed Shield]] and [[Dragon Scale Legs]], seen in [[Nerana]] 2015.\n</gallery>","* In November 28, 2019, {{Character|Rei de Lutabra}} bought it for around {{ilink|Tibia Coin}} 168,000 [[Tibia Coin|TCs]].",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Crown Armor,a,crown armor,?,3381,Body Equipment,Armors,Body,5.1,no,yes,yes,-,knights and paladins,1,2,-,13,99.00,no,yes,Ashmunrah | Cliff Strider | Demon Outcast | Execowtioner | Gorzindel | Hand of Cursed Fate | Hellgorak | Hero | Horadron | King Zelos | Orewalker | Phantasm | Prince Drazzak | Quara Pincher | Renegade Knight | Renegade Quara Pincher | Serpent Spawn | The Noxious Spawn | Thul | Vile Grandmaster,"12,000 - 15,000",12000,0,-,"Nah'Bob, H.L.:210","Part of the [[Crown Set]].\nAfter the Update 8.4, the Crown Armor became for knights and paladins only. This can also be gotten by using a [[Flask of Rust Remover]] on [[Rusted Armor]] or [[Slightly Rusted Armor]].\nGood armor for mid level [[Knights]], some will prefer to use the [[Knight Armor]], which has 1 arm less and is cheap, [[Paladins]] should prefer to use a [[Paladin Armor]]. The next upgrade should be a [[Golden Armor]].\nIt can be traded for a [[Piece of Royal Steel]] with [[A Sweaty Cyclops]]. It can be obtained through the [[Black Knight Quest]].",-,-,-,-,-,{{Sound List|}},-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Crown Helmet,a,crown helmet,?,3385,Body Equipment,Helmets,Head,5.1,no,yes,yes,-,-,2,2,-,7,29.50,no,yes,Hero | Nightmare Scion | Orewalker | Renegade Knight | Roaring Lion | Ushuriel | Vile Grandmaster | Werelioness | Zanakeph,"2,500 - 5,000",2500,0,-,"H.L.: 70, Nah'Bob","This is a good and fairly strong helmet used by most players and is part of the [[Crown Set]]. It's also pretty light, making it a decent helmet for any medium level [[Paladin]], [[Mages]] would probably prefer a [[Hat of the Mad]] or an elemental [[Helmet]] such as a [[Terra Hood]].\nObtainable from the [[Noble Armor Quest]].",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Crown Legs,-,crown legs,?,3382,Body Equipment,Legs,Legs,5.1,no,yes,yes,-,knights and paladins,-,2,-,8,65.00,no,yes,Captain Jones | Hellgorak | Hero | Horadron | Renegade Knight | Sight of Surrender | The Imperor | Vile Grandmaster,"12,000 - 20,000",12000,0,-,"Nah'Bob, H.L.: 60","Part of the strong and expensive [[Crown Set]]. Similar to [[Knight Legs]] in armor, but significantly more expensive because of the rarity of Crown Legs and because they are 5.00 oz lighter.\nSince the 8.1 Update the [[Blue Legs]] have seemed to replace the Crown Legs thus making the Crown Legs harder to sell and drop in value. These can be gotten by [[Rust Remover|unrusting]] [[Rusted Legs]] and [[Slightly Rusted Legs]].\n<br />\n\nNeeded for an addon of [[Wizard Outfits]].",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Crown Shield,a,crown shield,crown shields,3419,Body Equipment,Shields,Shield Hand,5.1,no,yes,yes,-,-,1,-,-,-,62.00,no,yes,Annihilon | Demon Outcast | Flameborn | Hero | Knight's Apparition | Lava Golem | Renegade Knight | Retching Horror | Soul-Broken Harbinger | Sulphider | Terofar | Varnished Diremaw | Vile Grandmaster | Zavarash,"8,000 - 15,000",8000,0,-,"Nah'Bob, H.L.: 109",Better than [[Tower Shield]] because it weighs less. It is also part of the [[Crown Set]].\nReward from the [[Black Knight Quest]]. Can be obtained by [[Unrusting]] a [[Slightly Rusted Shield]].,-,32,-,-,-,{{Sound List|}},-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Crusader Helmet,a,crusader helmet,?,3391,Body Equipment,Helmets,Head,6.6,no,yes,yes,-,-,2,2,-,8,52.00,no,yes,Bibby Bloodbath | Cliff Strider | Demon Outcast | Duke Krule | Lavaworm | Melting Frozen Horror | Orc Warlord | Rotspit | Sight of Surrender | Spitter | The Hungerer | Thul | Undead Elite Gladiator | Undead Gladiator,"6,000 - 8,000",6000,0,-,Nah'Bob,"Most players prefer to use this over a [[Warrior Helmet]], which has the same defence but is a bit heavier (by 16 [[oz]]) than Crusader Helmet, although it is more expensive.\nObtainable from the [[Crusader Helmet Quest]].","The sprite of this helmet was changed during [[Updates/7.4|Christmas Update 2004]]. Before that, it used to look like this: [[File:Old-crusaderhelmet.gif|Old sprite]]",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Crystal Arrow,a,crystal arrow,?,3239,Other Items,Quest Items,-,7.4,no,yes,yes,-,-,-,-,-,-,1.00,-,no,Omruc,Negotiable,0,0,-,-,Trade this item for a [[Helmet Adornement]] (part of the [[Helmet of the Ancients]]) for the [[Helmet of the Ancients Quest]],-,-,-,-,-,-,This arrow seems not suitable for the use with ordinary bows. It seems to be rotting rapidly.,24 hours,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Crystal Ball,a,crystal ball,?,3076,Other Items,Magical Items,-,6.0,no,yes,yes,-,-,-,-,-,-,34.00,yes,yes,Ghazbaran | Golgordan | Latrivan | Morgaroth | Orshabaal | Priestess | Zugurosh,190 - 530,190,530,"Alexander, Khanna: 650",Alexander,"Can be seen in the Halls of Sorcery in [[Kazordoon]]. There is no use for it except for decoration. Looks the same as a [[Crystal Ball (Object)]], a [[Scrying Ball]], and a [[Mago Mechanic Core]].\n5 crystal balls spawn in the room of [[Rahemos]].\n<br />\n\nObtained from the [[Time Ring Quest]].",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Crystal Coin,a,crystal coin,crystal coins,3043,Other Items,Valuables,-,7.4,no,yes,yes,-,-,-,-,-,-,0.10,yes,no,Alptramun | Amenef the Burning | Ancient Spawn of Morgathla | Bony Sea Devil | Brachiodemon | Brain Head | Branchy Crawler | Capricious Phantom | Cloak of Terror | Count Vlarkorth | Courage Leech | Distorted Phantom | Druid's Apparition | Drume | Duke Krule | Earl Osam | Emerald Tortoise | Enusat the Onyx Wing | Gaz'haragoth | Ghazbaran | Ghulosh | Gore Horn | Gorerilla | Gorzindel | Goshnar's Cruelty | Goshnar's Greed | Goshnar's Hatred | Goshnar's Malice | Goshnar's Megalomania | Goshnar's Spite | Hazardous Phantom | Headpecker | Hulking Prehemoth | Infernal Demon | Infernal Phantom | Izcandar Champion of Summer | Izcandar Champion of Winter | Izcandar the Banished | King Zelos | Knight's Apparition | Lokathmor | Lord Azaram | Magma Bubble | Malofur Mangrinder | Mantosaurus | Many Faces | Maxxenius | Mazzinor | Megasylvan Yselda | Mercurial Menace | Morshabaal | Mould Phantom | Neferi the Spy | Nighthunter | Noxious Ripptor | Paladin's Apparition | Plagueroot | Plunder Patriarch | Ratmiral Blackwhiskers | Rotten Golem | Scarlett Etzel | Shrieking Cry-Stal | Sir Baeloc | Sister Hetai | Sorcerer's Apparition | Stalking Stalk | Sulphider | Sulphur Spouter | Tentugly's Head | The Abomination | The Baron from Below | The Brainstealer | The Count of the Core | The Dread Maiden | The Duke of the Depths | The Fear Feaster | The Nightmare Beast | The Pale Worm | The Scourge of Oblivion | The Unwelcome | Timira the Many-Headed | True Dawnfire Asura | True Frost Flower Asura | True Midnight Asura | Turbulent Elemental | Undertaker | Urmahlullu the Weakened | Vibrant Phantom | Sabretooth (Creature) | Murcion | Vemiath | Chagorz | Ichgahal,"10,000",10000,10000,-,-,"A crystal coin is equal to 100 [[platinum coin]]s, or 10,000 [[gold coin]]s. Although you cannot directly buy this item, it is possible to exchange money with [[Banker NPCs]]. For more information, read the [[Currency]] page. Also called ""CC"".\n10 of them can be obtained from the [[Wrath of the Emperor Quest]]. It can also be obtained from [[Gnomish Supply Package]]s and [[Shiny Stone]]s.<br />{{Seealso|Gnomish Supply Package/Statistics|Shiny Stone/Refining Statistics}}",-,-,-,yes,-,-,-,-,-,-,-,-,-,-,Currency,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Crystal Key,a,crystal key,crystal keys,2971,Tools and other Equipment,Keys,-,3.1,no,yes,yes,-,-,-,-,-,-,1.00,-,-,-,Negotiable,0,0,-,-,"There are a total of two type of crystal keys in game, [[Key 3700|3700]] having been added during the Christmas 2006 update.\n\nFor a list of crystal keys, see [[Keys by Type/Crystal Key]].",-,-,-,yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Crystal Mace,a,crystal mace,crystal maces,3333,Weapons,Club Weapons,Weapon Hand,7.3,no,yes,yes,35,-,2,2,-,-,80.00,-,yes,Animated Feather | Boar Man | Brachiodemon | Eradicator | Eyeless Devourer | Icecold Book | Infernal Phantom | Ironblight | Juvenile Bashmu | Knight's Apparition | Lavafungus | Melting Frozen Horror | Realityquake | Sight of Surrender | Squid Warden | Stone Devourer | Streaked Devourer | The Baron from Below | Tunnel Tyrant | Utua Stone Sting | Vashresamun | Walker | Yakchal | Zushuka,"12,000 - 50,000",12000,0,-,Rashid,"Due to its stats and rarity compared to other weapons, this beautiful mace is used mainly as a valuable decoration, since it is a rare [[loot]] from only a few hard [[creatures]].\nIt can be obtained from [[Mucus Plug]]s.","Interesting to note that it was dropped by a lot of [[Ice]]-themed creatures during the Test Server for the [[Updates/8.0|Summer Update 2007]], but it was removed before the update. However, value of this weapon decreased greatly after the [[Updates/9.6|Summer Update 2012]], and later, when [[Sight of Surrender|Sights of Surrender]] were introduced ([[Updates/10.3|Winter Update 2013]]). It is one of the few [[Pharaoh Rares]] that have lost their rarity status.<br />\nFrom [[Updates/8.1|Christmas Update 2007]] until [[Updates/11.40|Summer Update 2017]], it could be transformed into the following [[Enchanted Weapons]] through the process known as [[Enchanting]]:\n* {{Ilink|Icy Crystal Mace}} [[Icy Crystal Mace]]\n* {{Ilink|Earth Crystal Mace}} [[Earth Crystal Mace]]\n* {{Ilink|Energy Crystal Mace}} [[Energy Crystal Mace]]\n* {{Ilink|Fiery Crystal Mace}} [[Fiery Crystal Mace]]\nThese sprites are now used for their respective [[replicas]].",16,-,yes,-,{{Sound List|}},-,-,38,-,-,One,Club,yes,-,-,-,-,+1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Crystal Necklace,a,crystal necklace,?,3008,Tools and other Equipment,Amulets and Necklaces,Neck,6.0,no,yes,yes,-,-,-,-,-,-,4.90,no,yes,Amazon | Behemoth | Bretzecutioner | Crystal Spider | Destroyer | Hellgorak | Lucifuga Aranea | Orshabaal | Priestess,400,400,0,-,Rashid,"Only used as a decoration amulet, often neglected by most players until [[Rashid]] started buying them after [[Updates/8.4|Winter Update 2008]] and its loot value increased dramatically.\n<br />\n\nCan be obtained in the [[Skull of Ratha Quest]].",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Crystal Ring,a,crystal ring,?,3007,Tools and other Equipment,Rings,Finger,6.0,no,yes,yes,-,-,-,-,-,-,0.90,no,yes,Animated Mummy | Banshee | Boar Man | Crystal Spider | Elder Mummy | Energy Elemental | Ferumbras | Frost Flower Asura | Fury | Furyosa | Ghazbaran | Grorlam | High Voltage Elemental | Knowledge Elemental | Kusuma | Mahatheb | Mantosaurus | Memory of a Banshee | Midnight Asura | Morgaroth | Mummy | Naga Archer | Nightstalker | Orshabaal | Raging Mage | Stone Golem | The Blazing Rose | The Diamond Blossom | The Flaming Orchid | The Winter Bloom | True Frost Flower Asura | True Midnight Asura | Vashresamun | Warlock | Iks Chuka,250 - 800,250,0,-,Rashid,The Crystal Ring is mostly used for [[decoration]] purposes only.<br />It looks the same as [[Crystal Ring (Eleonore)|Eleonore's Crystal Ring]] and [[House Silversun's Signet Ring]].\nItem obtained in [[Behemoth Quest]].,-,-,-,-,-,{{Sound List|}},-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Crystal Wand,a,crystal wand,?,3068,Other Items,Valuables,-,5.1,no,yes,yes,-,-,-,-,-,-,28.00,yes,yes,Rahemos,"10,000 - 150,000",10000,0,-,Gnomission,It is one of the only remaining [[Old Wands|Older Wands]].\nObtainable from the [[Crystal Wand Quest]].,"Back in 2000, after [[Updates/6.0|Update 6.0]], former GM [[Knightmare]] broadcasted that he was going to gamble some items in Thais temple. He left both a [[Crown]] and a Crystal Wand in different spots of the temple so players could get them quickly.\nWarax bought it but he was deleted later, and so was the Crystal Wand.\n\nDespite being an incredible rare item back in the days, Crystal Wand is no longer a rare item since it is dropped by [[Rahemos]], giving it the status of a [[Pharaoh Rares|Pharaoh Rare]].",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cup,a,cup,cups,2881,Household Items,Kitchen Tools,-,3.1,no,yes,yes,-,-,-,-,-,-,2.00,-,-,-,2,0,2,"Ahmet, Bashira, Bertha, Chephan, Gorn, Gree Dee, Halif, Maro, Perod, Red Lilly, Sarina, Zora: 3",-,-,-,-,yes,yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dagger,a,dagger,daggers,3267,Weapons,Sword Weapons,Weapon Hand,5.1,no,yes,yes,0,-,-,1,-,-,9.50,-,yes,Amazon | Brutus Bloodbeard | Deadeye Devious | Demon (Goblin) | Enusat the Onyx Wing | Faceless Bane | Goblin | Goblin Assassin | Goblin Leader | Goblin Scavenger | Memory of an Amazon | Muglex Clan Assassin | Muglex Clan Footman | Muglex Clan Scavenger | Naga Warrior | Neferi the Spy | Ron the Ripper | Sister Hetai,2,2,5,"Baltim, Brengus, Cedrik, Coltrayne: 5, Esrik, Flint, Gamel, Habdel, Hardek, Lee'Delle: 4, Memech, Morpel, Obi: 5, Robert, Rock In A Hard Place, Romella, Rowenna, Sam, Shanar, Turvy, Ulrik, Uzgod, Willard","Baltim, Brengus, Cedrik: 2, Esrik, Flint, Gamel, H.L.: 1, Habdel, Hardek, Lee'Delle: 2, Memech, Morpel, Obi: 2, Robert, Rock In A Hard Place, Romella, Rowenna, Sam, Shanar, Turvy, Ulrik, Uzgod, Willard","One of the weakest [[Sword Weapons|sword]]s in the game, primarily used for [[training]], either with another player or by slow-killing weak monsters with it.",Before the [[Updates/8.1|winter update 2007]] a Dagger looked like this: [[File:Dagger_(old).gif]],6,-,yes,-,{{Sound List|}},-,-,8,2,4,One,Sword,no,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Damaged Helmet,a,damaged helmet,?,3226,Body Equipment,Helmets,Head,7.4,no,yes,yes,-,-,-,-,-,5,18.00,-,yes,-,Negotiable,0,0,-,-,<br />\nThis [[item]] is obtained in the [[Helmet of the Ancients Quest]] by having an [[Ornamented Ankh]] in your inventory and going through the [[teleport]] in [[Ancient Ruins Tomb|Dipthrah's Tomb]].,-,-,-,-,-,-,This item seems to have several parts missing.,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Daramian Mace,a,daramian mace,?,3327,Weapons,Club Weapons,Weapon Hand,7.3,no,yes,yes,0,-,-,1,-,-,68.00,-,yes,Furious Scorpion | Sandstone Scorpion | Scarab | White Pale,Negotiable,110,500,Raffael;knights only,Rashid,A player who joined in the [[knight]] vocation can choose this [[Club Weapons|club]] in the attached cellar of the [[Island of Destiny]]. Often found lying around the [[Ankrahmun]] desert.,"It became sellable after [[Updates/8.1|Winter Update 2007]], with the introduction of the [[NPC]], [[Rashid]]. Another change was made during February 2013, when the name changed from Daramanian Mace to Daramian Mace with a patch.",12,-,yes,-,-,-,-,21,0,500,One,Club,no,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Daramian Waraxe,a,daramian waraxe,?,3328,Weapons,Axe Weapons,Both Hands,7.3,no,yes,yes,25,knights,-,2,-,-,52.50,-,yes,Ancient Scarab | Ancient Spawn of Morgathla | Grave Guard | Memory of a Scarab | The Ravager,"1,000",1000,0,-,Rashid,-,"* It became sellable after [[Updates/8.1|Winter Update 2007]], with the introduction of [[Rashid]]. \n* Its rarity decreased since the [[Updates/9.1|Summer Update 2011]] introduced creatures dropping it. However, they only appear during a not often occurring [[World Change]].\n* In February 2013, the name changed from ''Daramanian Waraxe'' to ''Daramian Waraxe'' with the [[Updates/9.82|patch 9.82]].",15,-,yes,-,-,-,-,39,0,0,Two,Axe,no,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
